,"Most similar countries to coresponding (topic, country) pair"
streetlight lantern_United Arab Emirates,"[('Saudi Arabia', 0.957), ('Egypt', 0.948), ('Colombia', 0.901), ('Turkey', 0.9), ('Mexico', 0.9), ('China', 0.888), ('Thailand', 0.888), ('Spain', 0.879), ('Philippines', 0.878), ('Italy', 0.875), ('Romania', 0.875), ('Argentina', 0.873), ('South Africa', 0.868), ('South Korea', 0.865), ('Japan', 0.859), ('Indonesia', 0.855), ('Nigeria', 0.847), ('United Kingdom', 0.817)]"
streetlight lantern_South Korea,"[('China', 0.956), ('Japan', 0.933), ('Turkey', 0.92), ('Colombia', 0.915), ('Romania', 0.909), ('Thailand', 0.903), ('Mexico', 0.901), ('Argentina', 0.893), ('Italy', 0.885), ('Spain', 0.885), ('Philippines', 0.882), ('Egypt', 0.875), ('Indonesia', 0.873), ('South Africa', 0.868), ('United Arab Emirates', 0.865), ('United Kingdom', 0.849), ('Nigeria', 0.839), ('Saudi Arabia', 0.815)]"
streetlight lantern_Saudi Arabia,"[('United Arab Emirates', 0.957), ('Egypt', 0.954), ('Mexico', 0.879), ('Turkey', 0.872), ('Colombia', 0.867), ('Nigeria', 0.864), ('South Africa', 0.862), ('Thailand', 0.859), ('Philippines', 0.854), ('Italy', 0.85), ('Spain', 0.849), ('Argentina', 0.844), ('Indonesia', 0.844), ('Romania', 0.841), ('China', 0.828), ('Japan', 0.827), ('South Korea', 0.815), ('United Kingdom', 0.792)]"
streetlight lantern_Thailand,"[('Indonesia', 0.966), ('Philippines', 0.961), ('Colombia', 0.944), ('Mexico', 0.939), ('Japan', 0.921), ('China', 0.918), ('Egypt', 0.914), ('Turkey', 0.913), ('Argentina', 0.91), ('Nigeria', 0.907), ('Romania', 0.905), ('South Korea', 0.903), ('Italy', 0.902), ('South Africa', 0.895), ('United Arab Emirates', 0.888), ('Spain', 0.885), ('Saudi Arabia', 0.859), ('United Kingdom', 0.85)]"
truck_Nigeria,"[('Indonesia', 0.915), ('Egypt', 0.911), ('Philippines', 0.903), ('South Africa', 0.891), ('Saudi Arabia', 0.874), ('Thailand', 0.867), ('Turkey', 0.862), ('Argentina', 0.85), ('United Arab Emirates', 0.849), ('Colombia', 0.848), ('Mexico', 0.847), ('Romania', 0.826), ('Italy', 0.81), ('China', 0.804), ('South Korea', 0.802), ('Japan', 0.797), ('Spain', 0.797), ('United Kingdom', 0.758)]"
truck_Italy,"[('Spain', 0.967), ('Romania', 0.957), ('Turkey', 0.947), ('Argentina', 0.924), ('United Kingdom', 0.904), ('Colombia', 0.887), ('Japan', 0.887), ('Philippines', 0.881), ('South Korea', 0.871), ('South Africa', 0.869), ('Mexico', 0.866), ('Indonesia', 0.866), ('United Arab Emirates', 0.861), ('Thailand', 0.86), ('Egypt', 0.857), ('China', 0.839), ('Saudi Arabia', 0.819), ('Nigeria', 0.81)]"
truck_Spain,"[('Italy', 0.967), ('Turkey', 0.938), ('Argentina', 0.935), ('Romania', 0.935), ('United Kingdom', 0.912), ('Colombia', 0.897), ('United Arab Emirates', 0.877), ('Philippines', 0.876), ('Japan', 0.876), ('Mexico', 0.874), ('South Africa', 0.871), ('South Korea', 0.863), ('Thailand', 0.853), ('Indonesia', 0.852), ('Egypt', 0.851), ('China', 0.846), ('Saudi Arabia', 0.815), ('Nigeria', 0.797)]"
truck_Colombia,"[('Argentina', 0.962), ('Mexico', 0.96), ('Thailand', 0.923), ('Philippines', 0.918), ('Indonesia', 0.915), ('Spain', 0.897), ('Turkey', 0.896), ('South Korea', 0.893), ('Italy', 0.887), ('South Africa', 0.88), ('Japan', 0.878), ('Romania', 0.876), ('Egypt', 0.874), ('United Arab Emirates', 0.862), ('China', 0.853), ('Nigeria', 0.848), ('Saudi Arabia', 0.843), ('United Kingdom', 0.824)]"
truck_Indonesia,"[('Philippines', 0.961), ('Thailand', 0.94), ('Colombia', 0.915), ('Nigeria', 0.915), ('Turkey', 0.906), ('Egypt', 0.899), ('Argentina', 0.898), ('South Africa', 0.888), ('Mexico', 0.88), ('South Korea', 0.869), ('United Arab Emirates', 0.869), ('China', 0.868), ('Romania', 0.867), ('Italy', 0.866), ('Japan', 0.862), ('Saudi Arabia', 0.857), ('Spain', 0.852), ('United Kingdom', 0.802)]"
truck_Thailand,"[('Indonesia', 0.94), ('Philippines', 0.938), ('Colombia', 0.923), ('Argentina', 0.912), ('South Korea', 0.903), ('Mexico', 0.902), ('Turkey', 0.884), ('Japan', 0.884), ('United Arab Emirates', 0.883), ('Egypt', 0.88), ('South Africa', 0.875), ('China', 0.867), ('Nigeria', 0.867), ('Saudi Arabia', 0.861), ('Italy', 0.86), ('Spain', 0.853), ('Romania', 0.85), ('United Kingdom', 0.806)]"
truck_Romania,"[('Turkey', 0.957), ('Italy', 0.957), ('Spain', 0.935), ('Argentina', 0.913), ('United Kingdom', 0.885), ('Colombia', 0.876), ('Philippines', 0.876), ('South Africa', 0.871), ('Indonesia', 0.867), ('Mexico', 0.856), ('Japan', 0.856), ('Egypt', 0.855), ('United Arab Emirates', 0.853), ('Thailand', 0.85), ('South Korea', 0.85), ('Nigeria', 0.826), ('Saudi Arabia', 0.824), ('China', 0.822)]"
truck_Argentina,"[('Colombia', 0.962), ('Mexico', 0.954), ('Turkey', 0.937), ('Spain', 0.935), ('Italy', 0.924), ('Romania', 0.913), ('Philippines', 0.912), ('Thailand', 0.912), ('South Africa', 0.907), ('Indonesia', 0.898), ('Egypt', 0.894), ('South Korea', 0.891), ('Japan', 0.886), ('United Arab Emirates', 0.884), ('China', 0.871), ('Saudi Arabia', 0.863), ('United Kingdom', 0.861), ('Nigeria', 0.85)]"
truck_Egypt,"[('Saudi Arabia', 0.952), ('United Arab Emirates', 0.934), ('Turkey', 0.912), ('Nigeria', 0.911), ('Indonesia', 0.899), ('Argentina', 0.894), ('Philippines', 0.887), ('South Africa', 0.883), ('Thailand', 0.88), ('Colombia', 0.874), ('Mexico', 0.871), ('Italy', 0.857), ('Romania', 0.855), ('Spain', 0.851), ('South Korea', 0.848), ('China', 0.835), ('Japan', 0.822), ('United Kingdom', 0.795)]"
truck_Turkey,"[('Romania', 0.957), ('Italy', 0.947), ('Spain', 0.938), ('Argentina', 0.937), ('Egypt', 0.912), ('Philippines', 0.911), ('Indonesia', 0.906), ('Colombia', 0.896), ('South Africa', 0.894), ('United Arab Emirates', 0.894), ('Thailand', 0.884), ('South Korea', 0.879), ('Mexico', 0.876), ('China', 0.872), ('Saudi Arabia', 0.867), ('Japan', 0.866), ('Nigeria', 0.862), ('United Kingdom', 0.86)]"
truck_South Africa,"[('Philippines', 0.908), ('Argentina', 0.907), ('Turkey', 0.894), ('Nigeria', 0.891), ('Indonesia', 0.888), ('Egypt', 0.883), ('Colombia', 0.88), ('United Arab Emirates', 0.877), ('Thailand', 0.875), ('Mexico', 0.874), ('Romania', 0.871), ('Spain', 0.871), ('Italy', 0.869), ('Saudi Arabia', 0.864), ('Japan', 0.852), ('South Korea', 0.846), ('United Kingdom', 0.841), ('China', 0.825)]"
truck_South Korea,"[('Japan', 0.93), ('Thailand', 0.903), ('China', 0.896), ('Colombia', 0.893), ('Argentina', 0.891), ('Turkey', 0.879), ('Italy', 0.871), ('Philippines', 0.869), ('Indonesia', 0.869), ('Spain', 0.863), ('United Arab Emirates', 0.858), ('Mexico', 0.856), ('Romania', 0.85), ('Egypt', 0.848), ('South Africa', 0.846), ('Saudi Arabia', 0.824), ('United Kingdom', 0.824), ('Nigeria', 0.802)]"
truck_Japan,"[('South Korea', 0.93), ('Italy', 0.887), ('Argentina', 0.886), ('Thailand', 0.884), ('Philippines', 0.882), ('Colombia', 0.878), ('Spain', 0.876), ('China', 0.867), ('Turkey', 0.866), ('Indonesia', 0.862), ('Romania', 0.856), ('South Africa', 0.852), ('United Arab Emirates', 0.849), ('Mexico', 0.844), ('United Kingdom', 0.842), ('Egypt', 0.822), ('Saudi Arabia', 0.799), ('Nigeria', 0.797)]"
truck_Mexico,"[('Colombia', 0.96), ('Argentina', 0.954), ('Thailand', 0.902), ('Philippines', 0.9), ('Indonesia', 0.88), ('Turkey', 0.876), ('South Africa', 0.874), ('Spain', 0.874), ('Egypt', 0.871), ('Italy', 0.866), ('Saudi Arabia', 0.861), ('South Korea', 0.856), ('Romania', 0.856), ('United Arab Emirates', 0.854), ('Nigeria', 0.847), ('Japan', 0.844), ('China', 0.827), ('United Kingdom', 0.808)]"
truck_China,"[('South Korea', 0.896), ('Philippines', 0.873), ('Turkey', 0.872), ('Argentina', 0.871), ('Indonesia', 0.868), ('Thailand', 0.867), ('Japan', 0.867), ('United Arab Emirates', 0.857), ('Colombia', 0.853), ('Spain', 0.846), ('Italy', 0.839), ('Egypt', 0.835), ('Mexico', 0.827), ('South Africa', 0.825), ('Romania', 0.822), ('Saudi Arabia', 0.807), ('Nigeria', 0.804), ('United Kingdom', 0.797)]"
truck_Philippines,"[('Indonesia', 0.961), ('Thailand', 0.938), ('Colombia', 0.918), ('Argentina', 0.912), ('Turkey', 0.911), ('South Africa', 0.908), ('Nigeria', 0.903), ('Mexico', 0.9), ('Egypt', 0.887), ('Japan', 0.882), ('Italy', 0.881), ('Romania', 0.876), ('Spain', 0.876), ('China', 0.873), ('United Arab Emirates', 0.873), ('South Korea', 0.869), ('Saudi Arabia', 0.851), ('United Kingdom', 0.831)]"
truck_Saudi Arabia,"[('Egypt', 0.952), ('United Arab Emirates', 0.941), ('Nigeria', 0.874), ('Turkey', 0.867), ('South Africa', 0.864), ('Argentina', 0.863), ('Thailand', 0.861), ('Mexico', 0.861), ('Indonesia', 0.857), ('Philippines', 0.851), ('Colombia', 0.843), ('South Korea', 0.824), ('Romania', 0.824), ('Italy', 0.819), ('Spain', 0.815), ('China', 0.807), ('Japan', 0.799), ('United Kingdom', 0.764)]"
truck_United Arab Emirates,"[('Saudi Arabia', 0.941), ('Egypt', 0.934), ('Turkey', 0.894), ('Argentina', 0.884), ('Thailand', 0.883), ('South Africa', 0.877), ('Spain', 0.877), ('Philippines', 0.873), ('Indonesia', 0.869), ('Colombia', 0.862), ('Italy', 0.861), ('South Korea', 0.858), ('China', 0.857), ('Mexico', 0.854), ('Romania', 0.853), ('Nigeria', 0.849), ('Japan', 0.849), ('United Kingdom', 0.82)]"
truck_United Kingdom,"[('Spain', 0.912), ('Italy', 0.904), ('Romania', 0.885), ('Argentina', 0.861), ('Turkey', 0.86), ('Japan', 0.842), ('South Africa', 0.841), ('Philippines', 0.831), ('Colombia', 0.824), ('South Korea', 0.824), ('United Arab Emirates', 0.82), ('Mexico', 0.808), ('Thailand', 0.806), ('Indonesia', 0.802), ('China', 0.797), ('Egypt', 0.795), ('Saudi Arabia', 0.764), ('Nigeria', 0.758)]"
knife_Colombia,"[('India', 0.947), ('Brazil', 0.943), ('United States', 0.935), ('China', 0.919)]"
knife_China,"[('Brazil', 0.946), ('United States', 0.919), ('Colombia', 0.919), ('India', 0.897)]"
knife_India,"[('Colombia', 0.947), ('Brazil', 0.926), ('United States', 0.909), ('China', 0.897)]"
knife_United States,"[('Brazil', 0.938), ('Colombia', 0.935), ('China', 0.919), ('India', 0.909)]"
knife_Brazil,"[('China', 0.946), ('Colombia', 0.943), ('United States', 0.938), ('India', 0.926)]"
candle_Indonesia,"[('Philippines', 0.984), ('Colombia', 0.98), ('South Africa', 0.974), ('Egypt', 0.973), ('Argentina', 0.966), ('Turkey', 0.965), ('Thailand', 0.961), ('Japan', 0.961), ('Mexico', 0.96), ('Nigeria', 0.958), ('Italy', 0.954), ('Spain', 0.954), ('United Kingdom', 0.941), ('United Arab Emirates', 0.939), ('Romania', 0.935), ('China', 0.933), ('Saudi Arabia', 0.929), ('South Korea', 0.896)]"
candle_Japan,"[('Turkey', 0.987), ('Italy', 0.983), ('Colombia', 0.979), ('Spain', 0.979), ('Argentina', 0.977), ('Egypt', 0.977), ('Philippines', 0.976), ('South Africa', 0.975), ('United Kingdom', 0.973), ('United Arab Emirates', 0.972), ('Romania', 0.972), ('Thailand', 0.971), ('Mexico', 0.971), ('Saudi Arabia', 0.962), ('Indonesia', 0.961), ('China', 0.959), ('South Korea', 0.946), ('Nigeria', 0.929)]"
candle_South Africa,"[('Philippines', 0.988), ('Colombia', 0.987), ('Turkey', 0.984), ('Argentina', 0.98), ('Italy', 0.978), ('Mexico', 0.976), ('Egypt', 0.975), ('Japan', 0.975), ('Indonesia', 0.974), ('Spain', 0.973), ('United Kingdom', 0.97), ('Nigeria', 0.962), ('Romania', 0.962), ('Thailand', 0.962), ('Saudi Arabia', 0.958), ('United Arab Emirates', 0.954), ('China', 0.952), ('South Korea', 0.923)]"
candle_Thailand,"[('Philippines', 0.972), ('Japan', 0.971), ('Colombia', 0.967), ('Egypt', 0.965), ('South Africa', 0.962), ('Turkey', 0.961), ('Indonesia', 0.961), ('Mexico', 0.958), ('Argentina', 0.955), ('Italy', 0.953), ('China', 0.95), ('Spain', 0.95), ('United Kingdom', 0.948), ('Romania', 0.945), ('United Arab Emirates', 0.945), ('Nigeria', 0.944), ('Saudi Arabia', 0.933), ('South Korea', 0.923)]"
candle_Philippines,"[('South Africa', 0.988), ('Colombia', 0.987), ('Indonesia', 0.984), ('Egypt', 0.981), ('Turkey', 0.978), ('Japan', 0.976), ('Argentina', 0.974), ('Thailand', 0.972), ('Mexico', 0.972), ('Nigeria', 0.97), ('Italy', 0.968), ('Spain', 0.964), ('United Kingdom', 0.96), ('China', 0.958), ('Romania', 0.955), ('United Arab Emirates', 0.951), ('Saudi Arabia', 0.947), ('South Korea', 0.919)]"
candle_Egypt,"[('Colombia', 0.982), ('Philippines', 0.981), ('Japan', 0.977), ('South Africa', 0.975), ('Turkey', 0.975), ('Indonesia', 0.973), ('Argentina', 0.972), ('Italy', 0.969), ('Mexico', 0.969), ('Thailand', 0.965), ('Spain', 0.964), ('United Arab Emirates', 0.959), ('Romania', 0.956), ('United Kingdom', 0.955), ('China', 0.947), ('Saudi Arabia', 0.946), ('Nigeria', 0.94), ('South Korea', 0.915)]"
candle_Turkey,"[('Italy', 0.991), ('Spain', 0.991), ('Argentina', 0.987), ('Japan', 0.987), ('Colombia', 0.986), ('South Africa', 0.984), ('Romania', 0.98), ('United Kingdom', 0.979), ('Mexico', 0.979), ('Philippines', 0.978), ('Egypt', 0.975), ('United Arab Emirates', 0.973), ('Saudi Arabia', 0.969), ('Indonesia', 0.965), ('Thailand', 0.961), ('China', 0.946), ('South Korea', 0.943), ('Nigeria', 0.93)]"
candle_United Arab Emirates,"[('Italy', 0.977), ('United Kingdom', 0.973), ('Turkey', 0.973), ('Spain', 0.973), ('Japan', 0.972), ('Saudi Arabia', 0.97), ('Argentina', 0.969), ('Colombia', 0.964), ('Romania', 0.964), ('Egypt', 0.959), ('Mexico', 0.956), ('South Africa', 0.954), ('Philippines', 0.951), ('South Korea', 0.949), ('Thailand', 0.945), ('Indonesia', 0.939), ('China', 0.925), ('Nigeria', 0.895)]"
candle_Nigeria,"[('Philippines', 0.97), ('South Africa', 0.962), ('Indonesia', 0.958), ('Colombia', 0.947), ('Thailand', 0.944), ('Egypt', 0.94), ('Argentina', 0.932), ('China', 0.931), ('Turkey', 0.93), ('Japan', 0.929), ('Mexico', 0.927), ('Italy', 0.915), ('United Kingdom', 0.913), ('Spain', 0.911), ('Romania', 0.908), ('United Arab Emirates', 0.895), ('Saudi Arabia', 0.894), ('South Korea', 0.866)]"
candle_China,"[('Japan', 0.959), ('Philippines', 0.958), ('South Africa', 0.952), ('Thailand', 0.95), ('Colombia', 0.947), ('Egypt', 0.947), ('Turkey', 0.946), ('Argentina', 0.938), ('Italy', 0.936), ('Indonesia', 0.933), ('Romania', 0.932), ('Nigeria', 0.931), ('Mexico', 0.931), ('United Kingdom', 0.926), ('Spain', 0.926), ('United Arab Emirates', 0.925), ('Saudi Arabia', 0.922), ('South Korea', 0.895)]"
candle_South Korea,"[('United Kingdom', 0.953), ('Italy', 0.95), ('United Arab Emirates', 0.949), ('Japan', 0.946), ('Spain', 0.946), ('Turkey', 0.943), ('Mexico', 0.942), ('Saudi Arabia', 0.938), ('Colombia', 0.937), ('Argentina', 0.935), ('Romania', 0.934), ('South Africa', 0.923), ('Thailand', 0.923), ('Philippines', 0.919), ('Egypt', 0.915), ('Indonesia', 0.896), ('China', 0.895), ('Nigeria', 0.866)]"
candle_Argentina,"[('Turkey', 0.987), ('Colombia', 0.984), ('Italy', 0.984), ('Spain', 0.983), ('South Africa', 0.98), ('Japan', 0.977), ('Mexico', 0.975), ('Philippines', 0.974), ('United Kingdom', 0.973), ('Egypt', 0.972), ('United Arab Emirates', 0.969), ('Romania', 0.969), ('Indonesia', 0.966), ('Saudi Arabia', 0.965), ('Thailand', 0.955), ('China', 0.938), ('South Korea', 0.935), ('Nigeria', 0.932)]"
candle_Colombia,"[('Philippines', 0.987), ('South Africa', 0.987), ('Turkey', 0.986), ('Mexico', 0.985), ('Argentina', 0.984), ('Italy', 0.982), ('Egypt', 0.982), ('Indonesia', 0.98), ('Spain', 0.979), ('Japan', 0.979), ('United Kingdom', 0.968), ('Thailand', 0.967), ('Romania', 0.965), ('United Arab Emirates', 0.964), ('Saudi Arabia', 0.957), ('China', 0.947), ('Nigeria', 0.947), ('South Korea', 0.937)]"
candle_Mexico,"[('Colombia', 0.985), ('Italy', 0.98), ('Turkey', 0.979), ('South Africa', 0.976), ('Argentina', 0.975), ('Spain', 0.975), ('Philippines', 0.972), ('Japan', 0.971), ('United Kingdom', 0.97), ('Egypt', 0.969), ('Indonesia', 0.96), ('Thailand', 0.958), ('Saudi Arabia', 0.957), ('Romania', 0.956), ('United Arab Emirates', 0.956), ('South Korea', 0.942), ('China', 0.931), ('Nigeria', 0.927)]"
candle_Saudi Arabia,"[('Italy', 0.977), ('United Kingdom', 0.972), ('United Arab Emirates', 0.97), ('Turkey', 0.969), ('Argentina', 0.965), ('Spain', 0.963), ('Japan', 0.962), ('South Africa', 0.958), ('Colombia', 0.957), ('Mexico', 0.957), ('Romania', 0.955), ('Philippines', 0.947), ('Egypt', 0.946), ('South Korea', 0.938), ('Thailand', 0.933), ('Indonesia', 0.929), ('China', 0.922), ('Nigeria', 0.894)]"
candle_United Kingdom,"[('Italy', 0.985), ('Spain', 0.98), ('Turkey', 0.979), ('Argentina', 0.973), ('United Arab Emirates', 0.973), ('Japan', 0.973), ('Saudi Arabia', 0.972), ('South Africa', 0.97), ('Mexico', 0.97), ('Colombia', 0.968), ('Romania', 0.968), ('Philippines', 0.96), ('Egypt', 0.955), ('South Korea', 0.953), ('Thailand', 0.948), ('Indonesia', 0.941), ('China', 0.926), ('Nigeria', 0.913)]"
candle_Spain,"[('Turkey', 0.991), ('Italy', 0.99), ('Argentina', 0.983), ('United Kingdom', 0.98), ('Colombia', 0.979), ('Japan', 0.979), ('Romania', 0.978), ('Mexico', 0.975), ('South Africa', 0.973), ('United Arab Emirates', 0.973), ('Philippines', 0.964), ('Egypt', 0.964), ('Saudi Arabia', 0.963), ('Indonesia', 0.954), ('Thailand', 0.95), ('South Korea', 0.946), ('China', 0.926), ('Nigeria', 0.911)]"
candle_Italy,"[('Turkey', 0.991), ('Spain', 0.99), ('United Kingdom', 0.985), ('Argentina', 0.984), ('Japan', 0.983), ('Colombia', 0.982), ('Mexico', 0.98), ('South Africa', 0.978), ('Saudi Arabia', 0.977), ('United Arab Emirates', 0.977), ('Romania', 0.975), ('Egypt', 0.969), ('Philippines', 0.968), ('Indonesia', 0.954), ('Thailand', 0.953), ('South Korea', 0.95), ('China', 0.936), ('Nigeria', 0.915)]"
candle_Romania,"[('Turkey', 0.98), ('Spain', 0.978), ('Italy', 0.975), ('Japan', 0.972), ('Argentina', 0.969), ('United Kingdom', 0.968), ('Colombia', 0.965), ('United Arab Emirates', 0.964), ('South Africa', 0.962), ('Egypt', 0.956), ('Mexico', 0.956), ('Saudi Arabia', 0.955), ('Philippines', 0.955), ('Thailand', 0.945), ('Indonesia', 0.935), ('South Korea', 0.934), ('China', 0.932), ('Nigeria', 0.908)]"
source of cool_India,"[('Pakistan', 0.961), ('China', 0.93), ('Indonesia', 0.923), ('United States', 0.891), ('Brazil', 0.888), ('Philippines', 0.88), ('Netherlands', 0.863), ('Nepal', 0.86)]"
source of cool_Nepal,"[('Indonesia', 0.914), ('Philippines', 0.877), ('India', 0.86), ('China', 0.836), ('United States', 0.807), ('Brazil', 0.805), ('Pakistan', 0.776), ('Netherlands', 0.672)]"
source of cool_Philippines,"[('Indonesia', 0.94), ('Brazil', 0.915), ('China', 0.88), ('India', 0.88), ('Nepal', 0.877), ('United States', 0.84), ('Pakistan', 0.818), ('Netherlands', 0.774)]"
source of cool_Pakistan,"[('India', 0.961), ('China', 0.875), ('Indonesia', 0.859), ('Netherlands', 0.836), ('Brazil', 0.83), ('United States', 0.823), ('Philippines', 0.818), ('Nepal', 0.776)]"
source of cool_Brazil,"[('Philippines', 0.915), ('China', 0.902), ('Indonesia', 0.889), ('India', 0.888), ('United States', 0.884), ('Netherlands', 0.849), ('Pakistan', 0.83), ('Nepal', 0.805)]"
source of cool_China,"[('India', 0.93), ('Indonesia', 0.92), ('United States', 0.914), ('Brazil', 0.902), ('Philippines', 0.88), ('Pakistan', 0.875), ('Netherlands', 0.865), ('Nepal', 0.836)]"
source of cool_Indonesia,"[('Philippines', 0.94), ('India', 0.923), ('China', 0.92), ('Nepal', 0.914), ('Brazil', 0.889), ('United States', 0.871), ('Pakistan', 0.859), ('Netherlands', 0.796)]"
source of cool_United States,"[('China', 0.914), ('India', 0.891), ('Brazil', 0.884), ('Indonesia', 0.871), ('Netherlands', 0.871), ('Philippines', 0.84), ('Pakistan', 0.823), ('Nepal', 0.807)]"
source of cool_Netherlands,"[('United States', 0.871), ('China', 0.865), ('India', 0.863), ('Brazil', 0.849), ('Pakistan', 0.836), ('Indonesia', 0.796), ('Philippines', 0.774), ('Nepal', 0.672)]"
boat_Nigeria,"[('Colombia', 0.944), ('Indonesia', 0.941), ('Egypt', 0.925), ('Thailand', 0.924), ('China', 0.914), ('Argentina', 0.902), ('Philippines', 0.898), ('Mexico', 0.895), ('Japan', 0.893), ('Romania', 0.88), ('South Korea', 0.861), ('Turkey', 0.859), ('Italy', 0.858), ('South Africa', 0.85), ('United Arab Emirates', 0.849), ('United Kingdom', 0.844), ('Spain', 0.835)]"
boat_Egypt,"[('China', 0.932), ('United Arab Emirates', 0.93), ('Turkey', 0.925), ('Nigeria', 0.925), ('Indonesia', 0.918), ('Colombia', 0.914), ('Mexico', 0.911), ('Italy', 0.908), ('Japan', 0.905), ('Thailand', 0.903), ('Romania', 0.896), ('Spain', 0.896), ('Argentina', 0.892), ('South Africa', 0.891), ('Philippines', 0.877), ('South Korea', 0.875), ('United Kingdom', 0.849)]"
boat_Japan,"[('China', 0.953), ('Argentina', 0.944), ('Turkey', 0.933), ('Romania', 0.932), ('Italy', 0.932), ('South Africa', 0.931), ('Spain', 0.924), ('Colombia', 0.922), ('South Korea', 0.918), ('Mexico', 0.916), ('United Kingdom', 0.913), ('Thailand', 0.91), ('Egypt', 0.905), ('Indonesia', 0.9), ('Nigeria', 0.893), ('United Arab Emirates', 0.891), ('Philippines', 0.864)]"
boat_United Kingdom,"[('Argentina', 0.919), ('Japan', 0.913), ('Romania', 0.896), ('Italy', 0.894), ('Spain', 0.89), ('South Africa', 0.888), ('China', 0.885), ('Colombia', 0.881), ('Turkey', 0.879), ('Mexico', 0.861), ('Thailand', 0.856), ('Egypt', 0.849), ('Nigeria', 0.844), ('South Korea', 0.84), ('Indonesia', 0.838), ('United Arab Emirates', 0.835), ('Philippines', 0.79)]"
boat_Turkey,"[('Italy', 0.956), ('Spain', 0.949), ('South Africa', 0.94), ('China', 0.933), ('Japan', 0.933), ('Romania', 0.928), ('Egypt', 0.925), ('Argentina', 0.915), ('United Arab Emirates', 0.907), ('Mexico', 0.904), ('South Korea', 0.891), ('Colombia', 0.886), ('Thailand', 0.886), ('Indonesia', 0.885), ('United Kingdom', 0.879), ('Nigeria', 0.859), ('Philippines', 0.846)]"
boat_Argentina,"[('Japan', 0.944), ('Colombia', 0.941), ('South Africa', 0.934), ('Romania', 0.934), ('Italy', 0.932), ('China', 0.923), ('Spain', 0.92), ('United Kingdom', 0.919), ('Mexico', 0.918), ('Turkey', 0.915), ('Nigeria', 0.902), ('South Korea', 0.894), ('Egypt', 0.892), ('Indonesia', 0.886), ('Thailand', 0.884), ('United Arab Emirates', 0.868), ('Philippines', 0.84)]"
boat_Spain,"[('Italy', 0.978), ('Turkey', 0.949), ('South Africa', 0.948), ('Mexico', 0.929), ('Japan', 0.924), ('Argentina', 0.92), ('Romania', 0.916), ('China', 0.913), ('Egypt', 0.896), ('United Arab Emirates', 0.895), ('United Kingdom', 0.89), ('Colombia', 0.889), ('South Korea', 0.873), ('Indonesia', 0.853), ('Thailand', 0.837), ('Nigeria', 0.835), ('Philippines', 0.824)]"
boat_South Africa,"[('Spain', 0.948), ('Italy', 0.942), ('Turkey', 0.94), ('Argentina', 0.934), ('Japan', 0.931), ('China', 0.917), ('Mexico', 0.915), ('Romania', 0.911), ('United Arab Emirates', 0.901), ('Colombia', 0.892), ('Egypt', 0.891), ('United Kingdom', 0.888), ('South Korea', 0.884), ('Indonesia', 0.856), ('Thailand', 0.852), ('Nigeria', 0.85), ('Philippines', 0.816)]"
boat_United Arab Emirates,"[('Egypt', 0.93), ('China', 0.907), ('Turkey', 0.907), ('Mexico', 0.903), ('South Africa', 0.901), ('Spain', 0.895), ('Romania', 0.893), ('Japan', 0.891), ('Italy', 0.889), ('Argentina', 0.868), ('Thailand', 0.857), ('South Korea', 0.854), ('Colombia', 0.849), ('Nigeria', 0.849), ('Indonesia', 0.846), ('United Kingdom', 0.835), ('Philippines', 0.801)]"
boat_Indonesia,"[('Thailand', 0.968), ('Philippines', 0.966), ('Nigeria', 0.941), ('Colombia', 0.936), ('China', 0.919), ('Egypt', 0.918), ('Japan', 0.9), ('Mexico', 0.89), ('Romania', 0.887), ('Argentina', 0.886), ('Turkey', 0.885), ('South Korea', 0.872), ('Italy', 0.867), ('South Africa', 0.856), ('Spain', 0.853), ('United Arab Emirates', 0.846), ('United Kingdom', 0.838)]"
boat_Philippines,"[('Indonesia', 0.966), ('Thailand', 0.919), ('Colombia', 0.9), ('Nigeria', 0.898), ('Egypt', 0.877), ('China', 0.869), ('Japan', 0.864), ('Mexico', 0.858), ('Turkey', 0.846), ('Romania', 0.841), ('Argentina', 0.84), ('Italy', 0.836), ('South Korea', 0.836), ('Spain', 0.824), ('South Africa', 0.816), ('United Arab Emirates', 0.801), ('United Kingdom', 0.79)]"
boat_China,"[('Japan', 0.953), ('Turkey', 0.933), ('Egypt', 0.932), ('Thailand', 0.925), ('Romania', 0.925), ('Argentina', 0.923), ('South Korea', 0.923), ('Colombia', 0.921), ('Italy', 0.92), ('Indonesia', 0.919), ('Mexico', 0.918), ('South Africa', 0.917), ('Nigeria', 0.914), ('Spain', 0.913), ('United Arab Emirates', 0.907), ('United Kingdom', 0.885), ('Philippines', 0.869)]"
boat_Thailand,"[('Indonesia', 0.968), ('China', 0.925), ('Nigeria', 0.924), ('Philippines', 0.919), ('Colombia', 0.915), ('Japan', 0.91), ('Egypt', 0.903), ('Romania', 0.893), ('Turkey', 0.886), ('Argentina', 0.884), ('Mexico', 0.877), ('South Korea', 0.875), ('United Arab Emirates', 0.857), ('United Kingdom', 0.856), ('South Africa', 0.852), ('Italy', 0.851), ('Spain', 0.837)]"
